Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-01-02,1000,1000,1000,1000,664842
1998-01-09,1019.3,1019.3,964.7,964.7,3321009
1998-01-16,910,925.6,908.6,915,3478537
1998-01-23,940.9,940.9,912.8,917,3383172
1998-01-30,923.8,966.5,919.6,966.5,4739465
1998-02-06,987.3,1051.3,987.3,1051.3,7371854
1998-02-13,1077.2,1084.8,1061.2,1061.2,7887653
1998-02-20,1053.5,1118.8,1053.5,1112.9,6131889
1998-02-27,1123.6,1147.3,1111.3,1147.3,6915439
1998-03-06,1149.9,1163.1,1096.4,1105.7,5299340
1998-03-13,1133.2,1195.3,1133.2,1194,6618741
1998-03-20,1179.4,1179.4,1156.7,1156.7,5319765
1998-03-27,1153.9,1153.9,1118.4,1118.4,4233289
1998-04-03,1116.8,1116.8,1102,1102,2807520
1998-04-10,1105.3,1131.2,1105.3,1105.8,3032629
1998-04-17,1115.6,1123.1,1111.6,1111.6,3223811
1998-04-24,1103.7,1125.6,1089.9,1125.6,5175026
1998-05-01,1140.6,1140.6,1108.1,1127.4,4138352
1998-05-08,1140.3,1140.3,1104.3,1104.3,5810047
1998-05-15,1110.8,1110.8,1047.3,1047.3,4832297
1998-05-22,1048,1049.9,1009.3,1044.7,4774655
1998-05-29,1021.1,1021.1,930.3,939.7,4514611
1998-06-05,894,951.9,863.8,931.9,7066993
1998-06-12,897.7,897.7,897.7,897.7,884432
1998-06-19,854.1,920,847.8,887.8,5507117
1998-06-26,893,921.8,886.6,921.8,5888610
1998-07-03,930.4,955.3,930.4,955.3,3422517
1998-07-10,963.6,972.6,945.6,945.6,5207965
1998-07-17,962.2,1028.2,962.2,1028.2,6071778
1998-07-24,1017.8,1027.8,979.4,984.2,5358231
1998-07-31,976,976,946.7,959.9,4381776
1998-08-07,924.5,924.5,899.2,899.8,3885182
1998-08-14,900.1,900.1,844,847.5,4168363
1998-08-21,822.3,868.3,822.3,830.8,4775606
1998-08-28,813.3,813.6,664.9,664.9,5406618
1998-09-04,664.2,674,622.8,673.8,6942747
1998-09-11,707,753.2,703.2,703.2,6450601
1998-09-18,730.8,730.8,694,694,4943582
1998-09-25,676,736.2,671.1,708.5,5261687
1998-10-02,721.7,722.1,648.3,665.5,4708588
1998-10-09,659,663,617.6,624.9,4291420
1998-10-16,643.2,648.2,618.4,646.6,4333917
1998-10-23,646.6,704.1,643.3,702.6,4516409
1998-10-30,696.5,716.8,684.7,716.8,5395848
1998-11-06,738.9,769.2,738.4,754.8,5705461
1998-11-13,761,767.6,744.8,766.2,3781002
1998-11-20,781.1,795,730.9,744.2,7163723
1998-11-27,750.5,750.5,726.8,737.9,6366109
1998-12-04,723.9,734.3,699.9,733.1,6829442
1998-12-11,745.1,748.1,726.4,727,6906790
1998-12-18,717.1,735.3,716.9,734.9,4663331
1998-12-25,738.4,774,738.2,773.4,3184745
1999-01-01,789.8,800.2,773.1,787.4,4402482
1999-01-08,795.2,877.2,795.2,875.2,9942644
1999-01-15,864.8,864.8,750.5,780.9,10417206
1999-01-22,809.3,846.6,800.3,802.5,8990434
1999-01-29,782,853.4,782,850.8,6894774
1999-02-05,850.2,870.4,834,840.2,7804156
1999-02-12,841.6,848.9,817.1,841.2,7382382
1999-02-19,837.9,850.5,834.3,839,9677590
1999-02-26,840.7,841.9,792.2,804.5,8265154
1999-03-05,804.6,804.6,782.8,803.8,7075036
1999-03-12,808.5,844,808.5,843,9488195
1999-03-19,844.2,851.9,823.6,851.9,10461649
1999-03-26,847.6,861.8,799.6,823.6,12847440
1999-04-02,827.1,851.5,819.9,850.7,9763887
1999-04-09,858.1,877.8,850.1,855.8,8043292
1999-04-16,855.4,856.2,834.6,845.7,5982918
1999-04-23,858.7,881.4,854.8,864.7,7957427
1999-04-30,867.8,880.9,858.9,875.1,6407471
1999-05-07,890.3,890.3,862.2,875.2,4982436
1999-05-14,868.6,870.1,848.2,850.4,5740444
1999-05-21,853.2,911.7,853.2,909.7,6008783
1999-05-28,913.8,929.4,900.8,915.3,5255914
1999-06-04,918.8,928.2,912.4,926.3,2864643
1999-06-11,938.1,1003.7,937,1003.7,7045003
1999-06-18,1007.5,1024.7,994.9,1003.5,7362409
1999-06-25,999.1,1004.5,978,992.8,8350347
1999-07-02,991.2,1050.3,987,1047.8,6306937
1999-07-09,1055.6,1061.3,1028.4,1043.1,6575412
1999-07-16,1047.9,1051.7,1017.1,1018.4,6281345
1999-07-23,1016.9,1026.6,987.4,1026.6,4117427
1999-07-30,1020.7,1035.1,993.3,1030.9,4370344
1999-08-06,1028.1,1033.3,986.2,989.7,3715936
1999-08-13,985.7,1012.8,966.6,1012.4,3578287
1999-08-20,1010.4,1013.6,995.4,1010.3,3207735
1999-08-27,1017.4,1039,1017.1,1039,4607502
1999-09-03,1037.2,1041.2,1010.3,1027.9,4014970
1999-09-10,1032.1,1032.1,998.3,999.8,3848623
1999-09-17,996.4,996.4,926.2,946.4,4926367
1999-09-24,948.1,948.1,860.6,862.9,4987381
1999-10-01,868.5,874.1,845.5,865.9,4429602
1999-10-08,877,911.4,874.5,907.8,4354085
1999-10-15,904.1,908.5,876.8,879.1,5040445
1999-10-22,875.3,916.2,875.3,915.6,4962452
1999-10-29,918.2,918.2,896,912.1,3270014
1999-11-05,912.5,913.9,875.2,885.2,4172599
1999-11-12,879.1,880,874.6,877.5,2709695
1999-11-19,878.4,946.6,878.2,945.3,5432181
1999-11-26,955.4,982.1,946.2,967.6,9090435
1999-12-03,951.4,985.6,943.1,969.9,9004122
1999-12-10,972.5,1023.7,969.4,1018.1,9814820
1999-12-17,1016.1,1043,1010.6,1041.4,8754759
1999-12-24,1048.8,1113.8,1048.8,1113.7,7801891
1999-12-31,1122,1131.7,1091.3,1114.8,4251073
2000-01-07,1134.4,1152.1,1060.1,1147.8,9745166
2000-01-14,1171.9,1197.7,1150.5,1177.9,13461525
2000-01-21,1176.2,1202.5,1151.1,1193.9,10404820
2000-01-28,1193.7,1195.6,1127.7,1164.3,7782306
2000-02-04,1152.3,1276.2,1152.3,1246.5,9329613
2000-02-11,1239.9,1249.2,1150.8,1166,10450004
2000-02-18,1148.9,1205.5,1147.9,1187.6,9850765
2000-02-25,1149.9,1171.9,1087.7,1089.5,10885887
2000-03-03,1056.4,1141.9,1042.2,1141.9,10651915
2000-03-10,1156.8,1158.2,1115.2,1141.8,7279290
2000-03-17,1124.2,1148.3,1083.1,1132.1,8635439
2000-03-24,1135.1,1201.9,1135.1,1200.3,6928000
2000-03-31,1210.1,1224.2,1177.5,1185.1,6635105
2000-04-07,1190.7,1190.7,1142.9,1185.8,5312183
2000-04-14,1181.5,1181.5,1140.2,1147,4646607
2000-04-21,1060.4,1103.7,1051.8,1101.1,4400300
2000-04-28,1096.9,1122.9,1091.6,1120.7,2924282
2000-05-05,1115.3,1119.4,1103.7,1107.3,1220717
2000-05-12,1106.4,1116.2,1098,1102.9,3790616
2000-05-19,1105.4,1136.3,1101.3,1110.2,5020468
2000-05-26,1105.9,1105.9,1047.9,1049.6,4324059
2000-06-02,1047.2,1111.7,1047.2,1107.7,4818444
2000-06-09,1104.5,1104.5,1071.2,1087.4,4196137
2000-06-16,1087.2,1115.7,1086.4,1108,4097442
2000-06-23,1109.1,1120.3,1099.9,1112,2757046
2000-06-30,1116.7,1122.3,1106.3,1107.1,3870789
2000-07-07,1107.2,1136,1107.2,1135.2,4159250
2000-07-14,1148.1,1155.4,1140.7,1144.1,5421322
2000-07-21,1137,1152.4,1137,1150.6,5013983
2000-07-28,1145.9,1149,1101,1102,4114362
2000-08-04,1102.7,1104,1080,1090.4,3514756
2000-08-11,1096.4,1099.4,1082.8,1086.6,3773928
2000-08-18,1081.9,1084.5,1063.9,1067.6,2590848
2000-08-25,1062.5,1073.6,1057.2,1069.6,3500270
2000-09-01,1065.2,1065.2,1051.2,1056.1,3220932
2000-09-08,1062,1063.6,1031.2,1033.7,3493068
2000-09-15,1029.9,1030.7,1017.1,1028.8,2945770
2000-09-22,1018.5,1021.5,969.7,977.5,3317935
2000-09-29,982.2,986.5,944.9,960.1,3270671
2000-10-06,949.7,959,943.5,949.9,2855504
2000-10-13,938.3,938.3,867.9,875.6,3532409
2000-10-20,906.8,939.9,894.8,936.4,4453143
2000-10-27,935.2,943.5,926,932.5,3581438
2000-11-03,928.6,967.1,922.7,962.5,4262315
2000-11-10,969.4,979.8,944.3,948.3,7623857
2000-11-17,936,950,930,946.12,4715531
2000-11-24,950.47,964.31,936.08,964.31,4550805
2000-12-01,969.45,977.62,948.04,960.44,5908648
2000-12-08,951.31,967.77,938.58,957.14,5889811
2000-12-15,951.14,992.42,950.76,988.87,9407665
